id,description,name,type
502,Num. occurrences of 'dictionari',dictionari,numeric
503,Num. occurrences of 'die',die,numeric
504,Num. occurrences of 'diego',diego,numeric
505,Num. occurrences of 'differ',differ,numeric
506,Num. occurrences of 'difficult',difficult,numeric
507,Num. occurrences of 'digit',digit,numeric
508,Num. occurrences of 'dinner',dinner,numeric
509,Num. occurrences of 'direct',direct,numeric
510,Num. occurrences of 'directli',directli,numeric
511,Num. occurrences of 'director',director,numeric
512,Num. occurrences of 'directori',directori,numeric
513,Num. occurrences of 'disciplin',disciplin,numeric
514,Num. occurrences of 'discount',discount,numeric
515,Num. occurrences of 'discours',discours,numeric
516,Num. occurrences of 'discov',discov,numeric
517,Num. occurrences of 'discoveri',discoveri,numeric
518,Num. occurrences of 'discuss',discuss,numeric
519,Num. occurrences of 'disk',disk,numeric
520,Num. occurrences of 'display',display,numeric
521,Num. occurrences of 'dissert',dissert,numeric
522,Num. occurrences of 'distanc',distanc,numeric
523,Num. occurrences of 'distinct',distinct,numeric
524,Num. occurrences of 'distinguish',distinguish,numeric
525,Num. occurrences of 'distribut',distribut,numeric
526,Num. occurrences of 'divers',divers,numeric
527,Num. occurrences of 'divis',divis,numeric
528,Num. occurrences of 'dm',dm,numeric
529,Num. occurrences of 'doctor',doctor,numeric
530,Num. occurrences of 'document',document,numeric
531,Num. occurrences of 'doe',doe,numeric
532,Num. occurrences of 'dollar',dollar,numeric
533,Num. occurrences of 'domain',domain,numeric
534,Num. occurrences of 'domin',domin,numeric
535,Num. occurrences of 'done',done,numeric
536,Num. occurrences of 'doubl',doubl,numeric
537,Num. occurrences of 'doubt',doubt,numeric
538,Num. occurrences of 'download',download,numeric
539,Num. occurrences of 'dr',dr,numeric
540,Num. occurrences of 'draft',draft,numeric
541,Num. occurrences of 'draw',draw,numeric
542,Num. occurrences of 'dream',dream,numeric
543,Num. occurrences of 'drive',drive,numeric
544,Num. occurrences of 'drop',drop,numeric
545,Num. occurrences of 'du',du,numeric
546,Num. occurrences of 'due',due,numeric
547,Num. occurrences of 'duplic',duplic,numeric
548,Num. occurrences of 'dure',dure,numeric
549,Num. occurrences of 'dutch',dutch,numeric
550,Num. occurrences of 'dynam',dynam,numeric
551,Num. occurrences of 'earli',earli,numeric
552,Num. occurrences of 'earlier',earlier,numeric
553,Num. occurrences of 'earn',earn,numeric
554,Num. occurrences of 'easi',easi,numeric
555,Num. occurrences of 'easier',easier,numeric
556,Num. occurrences of 'easili',easili,numeric
557,Num. occurrences of 'east',east,numeric
558,Num. occurrences of 'eastern',eastern,numeric
559,Num. occurrences of 'ecai98',ecai98,numeric
560,Num. occurrences of 'econom',econom,numeric
561,Num. occurrences of 'economi',economi,numeric
562,Num. occurrences of 'ed',ed,numeric
563,Num. occurrences of 'edinburgh',edinburgh,numeric
564,Num. occurrences of 'edit',edit,numeric
565,Num. occurrences of 'editor',editor,numeric
566,Num. occurrences of 'editori',editori,numeric
567,Num. occurrences of 'edu',edu,numeric
568,Num. occurrences of 'educ',educ,numeric
569,Num. occurrences of 'edward',edward,numeric
570,Num. occurrences of 'effect',effect,numeric
571,Num. occurrences of 'effort',effort,numeric
572,Num. occurrences of 'ein',ein,numeric
573,Num. occurrences of 'either',either,numeric
574,Num. occurrences of 'el',el,numeric
575,Num. occurrences of 'electron',electron,numeric
576,Num. occurrences of 'element',element,numeric
577,Num. occurrences of 'elimin',elimin,numeric
578,Num. occurrences of 'elizabeth',elizabeth,numeric
579,Num. occurrences of 'elra',elra,numeric
580,Num. occurrences of 'els',els,numeric
581,Num. occurrences of 'elsewher',elsewher,numeric
582,Num. occurrences of 'email',email,numeric
583,Num. occurrences of 'embed',embed,numeric
584,Num. occurrences of 'emerg',emerg,numeric
585,Num. occurrences of 'emphasi',emphasi,numeric
586,Num. occurrences of 'empir',empir,numeric
587,Num. occurrences of 'employ',employ,numeric
588,Num. occurrences of 'en',en,numeric
589,Num. occurrences of 'enabl',enabl,numeric
590,Num. occurrences of 'enclos',enclos,numeric
591,Num. occurrences of 'encod',encod,numeric
592,Num. occurrences of 'encourag',encourag,numeric
593,Num. occurrences of 'end',end,numeric
594,Num. occurrences of 'endang',endang,numeric
595,Num. occurrences of 'engin',engin,numeric
596,Num. occurrences of 'england',england,numeric
597,Num. occurrences of 'english',english,numeric
598,Num. occurrences of 'enjoy',enjoy,numeric
599,Num. occurrences of 'enough',enough,numeric
600,Num. occurrences of 'enquiri',enquiri,numeric
601,Num. occurrences of 'enter',enter,numeric
602,Num. occurrences of 'enterpris',enterpris,numeric
603,Num. occurrences of 'entir',entir,numeric
604,Num. occurrences of 'entri',entri,numeric
605,Num. occurrences of 'envelop',envelop,numeric
606,Num. occurrences of 'environ',environ,numeric
607,Num. occurrences of 'equal',equal,numeric
608,Num. occurrences of 'equip',equip,numeric
609,Num. occurrences of 'equival',equival,numeric
610,Num. occurrences of 'eric',eric,numeric
611,Num. occurrences of 'error',error,numeric
612,Num. occurrences of 'es',es,numeric
613,Num. occurrences of 'eskimo',eskimo,numeric
614,Num. occurrences of 'especi',especi,numeric
615,Num. occurrences of 'essay',essay,numeric
616,Num. occurrences of 'essenti',essenti,numeric
617,Num. occurrences of 'essex',essex,numeric
618,Num. occurrences of 'esslli',esslli,numeric
619,Num. occurrences of 'est',est,numeric
620,Num. occurrences of 'establish',establish,numeric
621,Num. occurrences of 'et',et,numeric
622,Num. occurrences of 'etc',etc,numeric
623,Num. occurrences of 'ethnic',ethnic,numeric
624,Num. occurrences of 'europ',europ,numeric
625,Num. occurrences of 'european',european,numeric
626,Num. occurrences of 'evalu',evalu,numeric
627,Num. occurrences of 'even',even,numeric
628,Num. occurrences of 'event',event,numeric
629,Num. occurrences of 'ever',ever,numeric
630,Num. occurrences of 'everi',everi,numeric
631,Num. occurrences of 'everyon',everyon,numeric
632,Num. occurrences of 'everyth',everyth,numeric
633,Num. occurrences of 'evid',evid,numeric
634,Num. occurrences of 'evolut',evolut,numeric
635,Num. occurrences of 'evolutionari',evolutionari,numeric
636,Num. occurrences of 'exactli',exactli,numeric
637,Num. occurrences of 'examin',examin,numeric
638,Num. occurrences of 'exampl',exampl,numeric
639,Num. occurrences of 'exceed',exceed,numeric
640,Num. occurrences of 'excel',excel,numeric
641,Num. occurrences of 'except',except,numeric
642,Num. occurrences of 'exchang',exchang,numeric
643,Num. occurrences of 'excit',excit,numeric
644,Num. occurrences of 'exclud',exclud,numeric
645,Num. occurrences of 'exclus',exclus,numeric
646,Num. occurrences of 'exercis',exercis,numeric
647,Num. occurrences of 'exhibit',exhibit,numeric
648,Num. occurrences of 'exist',exist,numeric
649,Num. occurrences of 'expand',expand,numeric
650,Num. occurrences of 'expect',expect,numeric
651,Num. occurrences of 'expens',expens,numeric
652,Num. occurrences of 'experi',experi,numeric
653,Num. occurrences of 'experiment',experiment,numeric
654,Num. occurrences of 'expert',expert,numeric
655,Num. occurrences of 'explain',explain,numeric
656,Num. occurrences of 'explan',explan,numeric
657,Num. occurrences of 'explor',explor,numeric
658,Num. occurrences of 'express',express,numeric
659,Num. occurrences of 'ext',ext,numeric
660,Num. occurrences of 'extend',extend,numeric
661,Num. occurrences of 'extens',extens,numeric
662,Num. occurrences of 'extent',extent,numeric
663,Num. occurrences of 'extern',extern,numeric
664,Num. occurrences of 'extra',extra,numeric
665,Num. occurrences of 'extract',extract,numeric
666,Num. occurrences of 'extrem',extrem,numeric
667,Num. occurrences of 'eye',eye,numeric
668,Num. occurrences of 'face',face,numeric
669,Num. occurrences of 'facil',facil,numeric
670,Num. occurrences of 'facilit',facilit,numeric
671,Num. occurrences of 'fact',fact,numeric
672,Num. occurrences of 'factor',factor,numeric
673,Num. occurrences of 'faculti',faculti,numeric
674,Num. occurrences of 'fall',fall,numeric
675,Num. occurrences of 'famili',famili,numeric
676,Num. occurrences of 'familiar',familiar,numeric
677,Num. occurrences of 'far',far,numeric
678,Num. occurrences of 'fast',fast,numeric
679,Num. occurrences of 'faster',faster,numeric
680,Num. occurrences of 'fax',fax,numeric
681,Num. occurrences of 'featur',featur,numeric
682,Num. occurrences of 'februari',februari,numeric
683,Num. occurrences of 'feder',feder,numeric
684,Num. occurrences of 'fee',fee,numeric
685,Num. occurrences of 'feel',feel,numeric
686,Num. occurrences of 'fellow',fellow,numeric
687,Num. occurrences of 'feminin',feminin,numeric
688,Num. occurrences of 'ffa',ffa,numeric
689,Num. occurrences of 'fi',fi,numeric
690,Num. occurrences of 'field',field,numeric
691,Num. occurrences of 'figur',figur,numeric
692,Num. occurrences of 'file',file,numeric
693,Num. occurrences of 'fill',fill,numeric
694,Num. occurrences of 'filter',filter,numeric
695,Num. occurrences of 'final',final,numeric
696,Num. occurrences of 'financi',financi,numeric
697,Num. occurrences of 'find',find,numeric
698,Num. occurrences of 'finit',finit,numeric
699,Num. occurrences of 'finland',finland,numeric
700,Num. occurrences of 'finnish',finnish,numeric
701,Num. occurrences of 'first',first,numeric
702,Num. occurrences of 'fit',fit,numeric
703,Num. occurrences of 'five',five,numeric
704,Num. occurrences of 'floodgat',floodgat,numeric
705,Num. occurrences of 'florida',florida,numeric
706,Num. occurrences of 'focu',focu,numeric
707,Num. occurrences of 'focus',focus,numeric
708,Num. occurrences of 'follow',follow,numeric
709,Num. occurrences of 'font',font,numeric
710,Num. occurrences of 'forc',forc,numeric
711,Num. occurrences of 'foreign',foreign,numeric
712,Num. occurrences of 'form',form,numeric
713,Num. occurrences of 'formal',formal,numeric
714,Num. occurrences of 'format',format,numeric
715,Num. occurrences of 'fortun',fortun,numeric
716,Num. occurrences of 'forum',forum,numeric
717,Num. occurrences of 'forward',forward,numeric
718,Num. occurrences of 'found',found,numeric
719,Num. occurrences of 'foundat',foundat,numeric
720,Num. occurrences of 'four',four,numeric
721,Num. occurrences of 'fourth',fourth,numeric
722,Num. occurrences of 'fr',fr,numeric
723,Num. occurrences of 'frame',frame,numeric
724,Num. occurrences of 'framework',framework,numeric
725,Num. occurrences of 'franc',franc,numeric
726,Num. occurrences of 'frank',frank,numeric
727,Num. occurrences of 'free',free,numeric
728,Num. occurrences of 'freedom',freedom,numeric
729,Num. occurrences of 'french',french,numeric
730,Num. occurrences of 'frequenc',frequenc,numeric
731,Num. occurrences of 'frequent',frequent,numeric
732,Num. occurrences of 'fresh',fresh,numeric
733,Num. occurrences of 'friday',friday,numeric
734,Num. occurrences of 'friend',friend,numeric
735,Num. occurrences of 'front',front,numeric
736,Num. occurrences of 'ftp',ftp,numeric
737,Num. occurrences of 'fuer',fuer,numeric
738,Num. occurrences of 'full',full,numeric
739,Num. occurrences of 'fulli',fulli,numeric
740,Num. occurrences of 'fun',fun,numeric
741,Num. occurrences of 'function',function,numeric
742,Num. occurrences of 'fund',fund,numeric
743,Num. occurrences of 'fundament',fundament,numeric
744,Num. occurrences of 'futur',futur,numeric
745,Num. occurrences of 'gain',gain,numeric
746,Num. occurrences of 'game',game,numeric
747,Num. occurrences of 'gap',gap,numeric
748,Num. occurrences of 'gave',gave,numeric
749,Num. occurrences of 'gender',gender,numeric
750,Num. occurrences of 'gener',gener,numeric
751,Num. occurrences of 'genet',genet,numeric
752,Num. occurrences of 'geneva',geneva,numeric
753,Num. occurrences of 'genr',genr,numeric
754,Num. occurrences of 'geoffrey',geoffrey,numeric
755,Num. occurrences of 'georg',georg,numeric
756,Num. occurrences of 'georgetown',georgetown,numeric
757,Num. occurrences of 'german',german,numeric
758,Num. occurrences of 'germani',germani,numeric
759,Num. occurrences of 'gestur',gestur,numeric
760,Num. occurrences of 'get',get,numeric
761,Num. occurrences of 'gift',gift,numeric
762,Num. occurrences of 'girl',girl,numeric
763,Num. occurrences of 'give',give,numeric
764,Num. occurrences of 'given',given,numeric
765,Num. occurrences of 'global',global,numeric
766,Num. occurrences of 'go',go,numeric
767,Num. occurrences of 'goal',goal,numeric
768,Num. occurrences of 'goe',goe,numeric
769,Num. occurrences of 'good',good,numeric
770,Num. occurrences of 'got',got,numeric
771,Num. occurrences of 'govern',govern,numeric
772,Num. occurrences of 'gr',gr,numeric
773,Num. occurrences of 'graduat',graduat,numeric
774,Num. occurrences of 'grammar',grammar,numeric
775,Num. occurrences of 'grammat',grammat,numeric
776,Num. occurrences of 'grammatic',grammatic,numeric
777,Num. occurrences of 'granada',granada,numeric
778,Num. occurrences of 'grant',grant,numeric
779,Num. occurrences of 'graphic',graphic,numeric
780,Num. occurrences of 'grate',grate,numeric
781,Num. occurrences of 'great',great,numeric
782,Num. occurrences of 'greater',greater,numeric
783,Num. occurrences of 'greec',greec,numeric
784,Num. occurrences of 'greek',greek,numeric
785,Num. occurrences of 'greenberg',greenberg,numeric
786,Num. occurrences of 'grenobl',grenobl,numeric
787,Num. occurrences of 'groningen',groningen,numeric
788,Num. occurrences of 'ground',ground,numeric
789,Num. occurrences of 'group',group,numeric
790,Num. occurrences of 'grow',grow,numeric
791,Num. occurrences of 'gruyter',gruyter,numeric
792,Num. occurrences of 'guarante',guarante,numeric
793,Num. occurrences of 'guest',guest,numeric
794,Num. occurrences of 'guid',guid,numeric
795,Num. occurrences of 'guidelin',guidelin,numeric
796,Num. occurrences of 'guinea',guinea,numeric
797,Num. occurrences of 'guy',guy,numeric
798,Num. occurrences of 'ha',ha,numeric
799,Num. occurrences of 'half',half,numeric
800,Num. occurrences of 'hall',hall,numeric
801,Num. occurrences of 'han',han,numeric
802,Num. occurrences of 'hand',hand,numeric
803,Num. occurrences of 'handbook',handbook,numeric
804,Num. occurrences of 'handl',handl,numeric
805,Num. occurrences of 'happen',happen,numeric
806,Num. occurrences of 'happi',happi,numeric
807,Num. occurrences of 'hard',hard,numeric
808,Num. occurrences of 'hardcopi',hardcopi,numeric
809,Num. occurrences of 'harri',harri,numeric
810,Num. occurrences of 'harvard',harvard,numeric
811,Num. occurrences of 'hawaii',hawaii,numeric
812,Num. occurrences of 'hb',hb,numeric
813,Num. occurrences of 'head',head,numeric
814,Num. occurrences of 'hear',hear,numeric
815,Num. occurrences of 'heard',heard,numeric
816,Num. occurrences of 'hebrew',hebrew,numeric
817,Num. occurrences of 'held',held,numeric
818,Num. occurrences of 'hello',hello,numeric
819,Num. occurrences of 'help',help,numeric
820,Num. occurrences of 'helsinki',helsinki,numeric
821,Num. occurrences of 'henri',henri,numeric
822,Num. occurrences of 'hesit',hesit,numeric
823,Num. occurrences of 'hfl',hfl,numeric
824,Num. occurrences of 'hi',hi,numeric
825,Num. occurrences of 'high',high,numeric
826,Num. occurrences of 'higher',higher,numeric
827,Num. occurrences of 'highli',highli,numeric
828,Num. occurrences of 'highlight',highlight,numeric
829,Num. occurrences of 'hill',hill,numeric
830,Num. occurrences of 'histor',histor,numeric
831,Num. occurrences of 'histori',histori,numeric
832,Num. occurrences of 'hit',hit,numeric
833,Num. occurrences of 'hold',hold,numeric
834,Num. occurrences of 'holiday',holiday,numeric
835,Num. occurrences of 'holland',holland,numeric
836,Num. occurrences of 'home',home,numeric
837,Num. occurrences of 'homepag',homepag,numeric
838,Num. occurrences of 'hong',hong,numeric
839,Num. occurrences of 'hope',hope,numeric
840,Num. occurrences of 'host',host,numeric
841,Num. occurrences of 'hot',hot,numeric
842,Num. occurrences of 'hotel',hotel,numeric
843,Num. occurrences of 'hour',hour,numeric
844,Num. occurrences of 'hous',hous,numeric
845,Num. occurrences of 'howev',howev,numeric
846,Num. occurrences of 'htm',htm,numeric
847,Num. occurrences of 'html',html,numeric
848,Num. occurrences of 'http',http,numeric
849,Num. occurrences of 'huge',huge,numeric
850,Num. occurrences of 'human',human,numeric
851,Num. occurrences of 'humor',humor,numeric
852,Num. occurrences of 'hundr',hundr,numeric
853,Num. occurrences of 'hypothesi',hypothesi,numeric
854,Num. occurrences of 'ibm',ibm,numeric
855,Num. occurrences of 'iceland',iceland,numeric
856,Num. occurrences of 'id',id,numeric
857,Num. occurrences of 'ide',ide,numeric
858,Num. occurrences of 'idea',idea,numeric
859,Num. occurrences of 'ident',ident,numeric
860,Num. occurrences of 'identif',identif,numeric
861,Num. occurrences of 'identifi',identifi,numeric
862,Num. occurrences of 'ie',ie,numeric
863,Num. occurrences of 'ignor',ignor,numeric
864,Num. occurrences of 'ii',ii,numeric
865,Num. occurrences of 'iii',iii,numeric
866,Num. occurrences of 'il',il,numeric
867,Num. occurrences of 'illinoi',illinoi,numeric
868,Num. occurrences of 'illustr',illustr,numeric
869,Num. occurrences of 'im',im,numeric
870,Num. occurrences of 'imag',imag,numeric
871,Num. occurrences of 'imagin',imagin,numeric
872,Num. occurrences of 'immedi',immedi,numeric
873,Num. occurrences of 'implement',implement,numeric
874,Num. occurrences of 'impli',impli,numeric
875,Num. occurrences of 'implic',implic,numeric
876,Num. occurrences of 'import',import,numeric
877,Num. occurrences of 'imposs',imposs,numeric
878,Num. occurrences of 'improv',improv,numeric
879,Num. occurrences of 'inc',inc,numeric
880,Num. occurrences of 'includ',includ,numeric
881,Num. occurrences of 'incom',incom,numeric
882,Num. occurrences of 'incorpor',incorpor,numeric
883,Num. occurrences of 'increas',increas,numeric
884,Num. occurrences of 'inde',inde,numeric
885,Num. occurrences of 'indefinit',indefinit,numeric
886,Num. occurrences of 'independ',independ,numeric
887,Num. occurrences of 'index',index,numeric
888,Num. occurrences of 'india',india,numeric
889,Num. occurrences of 'indian',indian,numeric
890,Num. occurrences of 'indiana',indiana,numeric
891,Num. occurrences of 'indic',indic,numeric
892,Num. occurrences of 'indigen',indigen,numeric
893,Num. occurrences of 'individu',individu,numeric
894,Num. occurrences of 'indo',indo,numeric
895,Num. occurrences of 'induct',induct,numeric
896,Num. occurrences of 'industri',industri,numeric
897,Num. occurrences of 'infer',infer,numeric
898,Num. occurrences of 'inflect',inflect,numeric
899,Num. occurrences of 'influenc',influenc,numeric
900,Num. occurrences of 'info',info,numeric
901,Num. occurrences of 'inform',inform,numeric
902,Num. occurrences of 'informatik',informatik,numeric
903,Num. occurrences of 'initi',initi,numeric
904,Num. occurrences of 'innat',innat,numeric
905,Num. occurrences of 'innov',innov,numeric
906,Num. occurrences of 'input',input,numeric
907,Num. occurrences of 'inquiri',inquiri,numeric
908,Num. occurrences of 'insert',insert,numeric
909,Num. occurrences of 'insight',insight,numeric
910,Num. occurrences of 'instanc',instanc,numeric
911,Num. occurrences of 'instead',instead,numeric
912,Num. occurrences of 'institut',institut,numeric
913,Num. occurrences of 'instruct',instruct,numeric
914,Num. occurrences of 'integr',integr,numeric
915,Num. occurrences of 'intellig',intellig,numeric
916,Num. occurrences of 'intend',intend,numeric
917,Num. occurrences of 'intent',intent,numeric
918,Num. occurrences of 'interact',interact,numeric
919,Num. occurrences of 'intercultur',intercultur,numeric
920,Num. occurrences of 'interdisciplinari',interdisciplinari,numeric
921,Num. occurrences of 'interest',interest,numeric
922,Num. occurrences of 'interfac',interfac,numeric
923,Num. occurrences of 'intern',intern,numeric
924,Num. occurrences of 'internet',internet,numeric
925,Num. occurrences of 'interpret',interpret,numeric
926,Num. occurrences of 'interview',interview,numeric
927,Num. occurrences of 'inton',inton,numeric
928,Num. occurrences of 'introduc',introduc,numeric
929,Num. occurrences of 'introduct',introduct,numeric
930,Num. occurrences of 'introductori',introductori,numeric
931,Num. occurrences of 'intuit',intuit,numeric
932,Num. occurrences of 'invest',invest,numeric
933,Num. occurrences of 'investig',investig,numeric
934,Num. occurrences of 'invit',invit,numeric
935,Num. occurrences of 'involv',involv,numeric
936,Num. occurrences of 'ipa',ipa,numeric
937,Num. occurrences of 'isbn',isbn,numeric
938,Num. occurrences of 'island',island,numeric
939,Num. occurrences of 'israel',israel,numeric
940,Num. occurrences of 'issu',issu,numeric
941,Num. occurrences of 'itali',itali,numeric
942,Num. occurrences of 'italian',italian,numeric
943,Num. occurrences of 'item',item,numeric
944,Num. occurrences of 'iv',iv,numeric
945,Num. occurrences of 'jame',jame,numeric
946,Num. occurrences of 'jan',jan,numeric
947,Num. occurrences of 'jane',jane,numeric
948,Num. occurrences of 'januari',januari,numeric
949,Num. occurrences of 'japan',japan,numeric
950,Num. occurrences of 'japanes',japanes,numeric
951,Num. occurrences of 'jean',jean,numeric
952,Num. occurrences of 'job',job,numeric
953,Num. occurrences of 'john',john,numeric
954,Num. occurrences of 'join',join,numeric
955,Num. occurrences of 'joint',joint,numeric
956,Num. occurrences of 'jose',jose,numeric
957,Num. occurrences of 'joseph',joseph,numeric
958,Num. occurrences of 'journal',journal,numeric
959,Num. occurrences of 'jp',jp,numeric
960,Num. occurrences of 'judg',judg,numeric
961,Num. occurrences of 'judgment',judgment,numeric
962,Num. occurrences of 'juli',juli,numeric
963,Num. occurrences of 'june',june,numeric
964,Num. occurrences of 'jussieu',jussieu,numeric
965,Num. occurrences of 'karen',karen,numeric
966,Num. occurrences of 'keep',keep,numeric
967,Num. occurrences of 'ken',ken,numeric
968,Num. occurrences of 'key',key,numeric
969,Num. occurrences of 'keynot',keynot,numeric
970,Num. occurrences of 'keyword',keyword,numeric
971,Num. occurrences of 'kid',kid,numeric
972,Num. occurrences of 'kim',kim,numeric
973,Num. occurrences of 'kind',kind,numeric
974,Num. occurrences of 'king',king,numeric
975,Num. occurrences of 'kingdom',kingdom,numeric
976,Num. occurrences of 'kluwer',kluwer,numeric
977,Num. occurrences of 'know',know,numeric
978,Num. occurrences of 'knowledg',knowledg,numeric
979,Num. occurrences of 'known',known,numeric
980,Num. occurrences of 'kong',kong,numeric
981,Num. occurrences of 'korea',korea,numeric
982,Num. occurrences of 'korean',korean,numeric
983,Num. occurrences of 'l2',l2,numeric
984,Num. occurrences of 'la',la,numeric
985,Num. occurrences of 'lab',lab,numeric
986,Num. occurrences of 'label',label,numeric
987,Num. occurrences of 'laboratori',laboratori,numeric
988,Num. occurrences of 'lack',lack,numeric
989,Num. occurrences of 'lancast',lancast,numeric
990,Num. occurrences of 'lang',lang,numeric
991,Num. occurrences of 'langu',langu,numeric
992,Num. occurrences of 'languag',languag,numeric
993,Num. occurrences of 'larg',larg,numeric
994,Num. occurrences of 'larger',larger,numeric
995,Num. occurrences of 'larri',larri,numeric
996,Num. occurrences of 'last',last,numeric
997,Num. occurrences of 'late',late,numeric
998,Num. occurrences of 'later',later,numeric
999,Num. occurrences of 'latest',latest,numeric
1000,Num. occurrences of 'latex',latex,numeric
1001,Num. occurrences of 'latin',latin,numeric
1002,Num. occurrences of 'latter',latter,numeric
1003,Num. occurrences of 'law',law,numeric
1004,Num. occurrences of 'le',le,numeric
1005,Num. occurrences of 'lead',lead,numeric
1006,Num. occurrences of 'learn',learn,numeric
1007,Num. occurrences of 'learner',learner,numeric
